t,solar,wind
362,0,0.212
363,0,0.2
364,0,0.206
365,0.044,0.226
366,0.326,0.243
367,0.74,0.304
368,0.777,0.401
369,0.776,0.452
370,0.762,0.483
371,0.728,0.483
372,0.656,0.455
373,0.515,0.359
374,0.196,0.226
375,0,0.139
376,0,0.111
377,0,0.125
378,0,0.158
379,0,0.216
380,0,0.296
381,0,0.374
382,0,0.419
383,0,0.449
384,0,0.485
385,0,0.522
386,0,0.538
387,0,0.534
388,0,0.521
389,0.223,0.424
390,0.572,0.168
391,0.754,0.046
392,0.794,0.005
393,0.789,0.001
394,0.725,0.005
395,0.563,0.013
396,0.314,0.023
397,0.173,0.035
398,0.079,0.076
399,0,0.137
400,0,0.178
401,0,0.204
402,0,0.236
403,0,0.254
404,0,0.294
405,0,0.377
406,0,0.485
407,0,0.629
408,0,0.729
409,0,0.77
410,0,0.794
411,0,0.812
412,0.006,0.826
413,0.53,0.755
414,0.741,0.527
415,0.793,0.689
416,0.807,0.885
417,0.795,0.932
418,0.737,0.937
419,0.754,0.95
420,0.685,0.955
421,0.554,0.927
422,0.252,0.879
423,0,0.891
424,0,0.904
425,0,0.899
426,0,0.914
427,0,0.932
428,0,0.938
429,0,0.926
430,0,0.932
431,0,0.943
432,0,0.924
433,0,0.888
434,0,0.852
435,0,0.83
436,0.016,0.792
437,0.658,0.675
438,0.8,0.849
439,0.852,0.858
440,0.868,0.767
441,0.864,0.587
442,0.848,0.426
443,0.817,0.355
444,0.755,0.323
445,0.633,0.233
446,0.33,0.126
447,0,0.065
448,0,0.033
449,0,0.016
450,0,0.004
451,0,0.002
452,0,0.027
453,0,0.108
454,0,0.17
455,0,0.189
456,0,0.183
457,0,0.175
458,0,0.183
459,0,0.203
460,0.016,0.249
461,0.639,0.284
462,0.783,0.152
463,0.828,0.233
464,0.83,0.255
465,0.816,0.231
466,0.788,0.214
467,0.724,0.189
468,0.637,0.165
469,0.495,0.139
470,0.195,0.164
471,0,0.259
472,0,0.353
473,0,0.404
474,0,0.412
475,0,0.418
476,0,0.471
477,0,0.562
478,0,0.637
479,0,0.675
480,0,0.69
481,0,0.701
482,0,0.706
483,0,0.719
484,0.021,0.743
485,0.65,0.675
486,0.784,0.389
487,0.824,0.33
488,0.829,0.456
489,0.817,0.5
490,0.799,0.559
491,0.767,0.619
492,0.705,0.601
493,0.581,0.471
494,0.287,0.534
495,0,0.674
496,0,0.726
497,0,0.713
498,0,0.716
499,0,0.787
500,0,0.783
501,0,0.717
502,0,0.71
503,0,0.742
504,0,0.722
505,0,0.682
506,0,0.656
507,0,0.633
508,0,0.658
509,0.137,0.66
510,0.274,0.622
511,0.471,0.782
512,0.666,0.868
513,0.781,0.896
514,0.805,0.905
515,0.78,0.911
516,0.716,0.911
517,0.581,0.906
518,0.26,0.897
519,0,0.919
520,0,0.939
521,0,0.951
522,0,0.916
523,0,0.821
524,0,0.735
525,0,0.602
526,0,0.449
527,0,0.334
528,0,0.309
529,0,0.309
530,0,0.29
531,0,0.259
532,0.028,0.254
533,0.693,0.198
534,0.823,0.086
535,0.868,0.074
536,0.88,0.124
537,0.874,0.216
538,0.855,0.322
539,0.821,0.424
540,0.755,0.507
541,0.629,0.532
542,0.323,0.387
543,0,0.238
544,0,0.154
545,0,0.145
546,0,0.174
547,0,0.225
548,0,0.299
549,0,0.41
550,0,0.534
551,0,0.619
552,0,0.657
553,0,0.685
554,0,0.718
555,0,0.744
556,0.026,0.779
557,0.662,0.73
558,0.798,0.574
559,0.843,0.806
560,0.857,0.845
561,0.854,0.863
562,0.841,0.886
563,0.811,0.892
564,0.754,0.856
565,0.637,0.776
566,0.341,0.632
567,0,0.64
568,0,0.667
569,0,0.652
570,0,0.622
571,0,0.614
572,0,0.584
573,0,0.444
574,0,0.294
575,0,0.202
576,0,0.125
577,0,0.058
578,0,0.022
579,0,0.008
580,0.003,0.005
581,0.341,0.009
582,0.784,0.035
583,0.874,0.096
584,0.878,0.126
585,0.867,0.115
586,0.846,0.093
587,0.812,0.062
588,0.745,0.027
589,0.619,0.006
590,0.318,0.001
591,0,0.072
592,0,0.274
593,0,0.404
594,0,0.379
595,0,0.32
596,0,0.271
597,0,0.202
598,0,0.126
599,0,0.058
600,0,0.025
601,0,0.008
602,0,0.003
603,0,0.001
604,0,0.002
605,0.05,0.002
606,0.159,0
607,0.378,0
608,0.726,0
609,0.823,0
610,0.806,0
611,0.77,0.003
612,0.701,0.012
613,0.568,0.02
614,0.271,0.023
615,0,0.037
616,0,0.048
617,0,0.061
618,0,0.052
619,0,0.025
620,0,0.068
621,0,0.412
622,0,0.732
623,0,0.802
624,0,0.801
625,0,0.776
626,0,0.734
627,0,0.663
628,0.051,0.588
629,0.74,0.358
630,0.838,0.079
631,0.866,0.023
632,0.872,0.003
633,0.863,0.002
634,0.844,0.006
635,0.809,0.016
636,0.742,0.034
637,0.583,0.069
638,0.197,0.152
639,0,0.353
640,0,0.534
641,0,0.624
642,0,0.644
643,0,0.64
644,0,0.652
645,0,0.693
646,0,0.729
647,0,0.76
648,0,0.796
649,0,0.82
650,0,0.834
651,0,0.849
652,0.045,0.853
653,0.701,0.769
654,0.81,0.763
655,0.847,0.922
656,0.858,0.926
657,0.85,0.919
658,0.832,0.889
659,0.799,0.836
660,0.728,0.776
661,0.596,0.72
662,0.292,0.652
663,0,0.667
664,0,0.707
665,0,0.677
666,0,0.682
667,0,0.72
668,0,0.61
669,0,0.452
670,0,0.345
671,0,0.249
672,0,0.133
673,0,0.063
674,0,0.029
675,0,0.013
676,0.024,0.012
677,0.383,0.064
678,0.448,0.168
679,0.758,0.13
680,0.808,0.099
681,0.765,0.085
682,0.671,0.065
683,0.618,0.042
684,0.461,0.033
685,0.171,0.043
686,0.013,0.105
687,0,0.314
688,0,0.394
689,0,0.381
690,0,0.31
691,0,0.231
692,0,0.208
693,0,0.173
694,0,0.12
695,0,0.093
696,0,0.068
697,0,0.051
698,0,0.037
699,0,0.024
700,0,0.017
701,0.107,0.01
702,0.328,0.003
703,0.579,0
704,0.374,0.002
705,0.209,0.001
706,0.181,0
707,0.156,0.001
708,0.112,0.002
709,0.072,0.003
710,0.042,0.009
711,0,0.043
712,0,0.102
713,0,0.146
714,0,0.15
715,0,0.12
716,0,0.092
717,0,0.06
718,0,0.034
719,0,0.042
720,0,0.092
721,0,0.176
722,0,0.259
723,0,0.369
724,0,0.436
725,0.028,0.392
726,0.109,0.218
727,0.272,0.1
728,0.568,0.072
729,0.757,0.047
730,0.752,0.036
731,0.678,0.032
732,0.55,0.032
733,0.367,0.026
734,0.15,0.029
735,0,0.06
